"state","month","value"
"PE",8,1.0138990900000001e6
"PE",9,1.0139678800000001e6
"PE",10,946036.5899999997
"PE",11,1.0008793800000002e6
"PE",12,1.29424831e6
"PI",1,354949.0
"PI",2,204272.59000000003
"PI",3,303036.61
"PI",4,356405.99
"PI",5,327474.04
"PI",6,363455.88
"PI",7,355265.0
"PI",8,416563.79999999993
"PI",9,472317.7899999999
"PI",10,352290.56
"PI",11,386291.11
"PI",12,409771.2399999999
"PR",1,648183.0499999999
"PR",2,756682.6799999997
"PR",3,942132.4299999997
"PR",4,977251.0299999998
"PR",5,971639.6499999999
"PR",6,997744.4499999997
"PR",7,968376.69
"PR",8,1.16245297e6
"PR",9,1.0322098500000001e6
"PR",10,1.0885654500000002e6
"PR",11,1.0227853800000001e6
"PR",12,1.52058193e6
"RJ",1,945455.4099999999
"RJ",2,1.04911299e6
"RJ",3,1.5996157599999993e6
"RJ",4,1.2940790199999996e6
"RJ",5,1.5592065699999991e6
"RJ",6,1.4717411899999995e6
"RJ",7,1.6017792999999993e6
"RJ",8,1.6960067099999993e6
"RJ",9,1.6477845199999998e6
"RJ",10,1.46587544e6
"RJ",11,1.4633520299999998e6
"RJ",12,1.5221120099999998e6
"RN",1,209449.28
"RN",2,233148.8299999999
"RN",3,327039.81999999995
"RN",4,284520.08999999997
"RN",5,297257.22
"RN",6,295430.77
"RN",7,320105.67
"RN",8,338508.11
"RN",9,385141.1
"RN",10,387688.0199999999
"RN",11,360913.8700000001
"RN",12,325134.02999999997
"RO",1,205755.37999999998
"RO",2,226544.12
"RO",3,335450.7399999999
"RO",4,342934.9199999999
"RO",5,333518.96
"RO",6,306142.7699999999
"RO",7,247710.20999999996
"RO",8,376343.95
"RO",9,281091.6199999999
"RO",10,345008.6599999999
"RO",11,304987.8900000001
"RO",12,311386.8699999999
"RR",1,284393.57999999996
"RR",2,228060.92999999993
"RR",3,295961.55
"RR",4,236721.38999999998
"RR",5,400647.61999999994
"RR",6,384448.35000000003
"RR",7,283709.88
"RR",8,371426.74
"RR",9,477144.80000000005
"RR",10,588640.22
"RR",11,346711.20000000007
"RR",12,359144.55
"RS",1,758586.76
"RS",2,953955.1199999996
"RS",3,1.25248762e6
"RS",4,1.1003770499999998e6
"RS",5,977454.2600000001
"RS",6,923293.45
"RS",7,1.07502656e6
"RS",8,1.21536513e6
"RS",9,1.25948381e6
"RS",10,1.21973356e6
"RS",11,1.22160458e6
"RS",12,1.40609815e6
"SC",1,315090.27
"SC",2,426313.54999999993
"SC",3,540745.1599999998
"SC",4,540551.8699999999
"SC",5,514650.24
"SC",6,504591.14
"SC",7,513386.38999999984
"SC",8,626019.97
"SC",9,557706.7500000001
"SC",10,591999.1799999999
"SC",11,575585.05
"SC",12,723733.1300000001
"SE",1,258664.65999999997
"SE",2,253300.30999999994
"SE",3,280577.02999999997
"SE",4,290956.13999999996
"SE",5,335786.9099999999
"SE",6,267395.14
"SE",7,249596.47999999998
"SE",8,326127.17
"SE",9,369486.76
"SE",10,325136.5800000001
"SE",11,259484.83000000002
"SE",12,341122.89
"SP",1,1.5510923299999996e6
"SP",2,1.5478358999999992e6
"SP",3,2.0054351599999997e6
"SP",4,2.1986272899999996e6
"SP",5,2.2927745299999993e6
"SP",6,2.1607831599999997e6
"SP",7,2.1902156299999994e6
"SP",8,2.4357713899999997e6
"SP",9,2.3467755000000005e6
"SP",10,2.47779449e6
"SP",11,2.2578624000000004e6
"SP",12,3.03511499e6
"TO",1,220436.90999999995
"TO",2,259249.10999999993
"TO",3,263957.7899999999
"TO",4,306527.80999999994
"TO",5,219177.37000000002
"TO",6,305400.35
"TO",7,295183.98
"TO",8,306560.8
"TO",9,252961.39000000004
"TO",10,286176.11000000004
"TO",11,303389.51000000007
"TO",12,641916.48
